project_id_number,title,funding_start_year,funding_end_year,institution_id,institution_name,duration,subject
76817809,Design austenitischer Stahlgusswerkstoffe (A02),2008,,10349,Technische Universität Bergakademie Freiberg,3,
76818294,Verdüsung von neuen austenitischen Stahlgusswerkstoffen mit TRIP-Effekt und Design der Partikeleigenschaften (A03),2008,2016,10349,Technische Universität Bergakademie Freiberg,9,
76858466,Herstellung austenitischer Stahlguss-Verbundwerkstoffe mit keramischen Strukturen durch Infiltration (S01),2008,2016,10349,Technische Universität Bergakademie Freiberg,9,
76920165,Bildsame Formgebung für die Herstellung von TRIP-Matrix-Compositen (A05),2008,2016,10349,Technische Universität Bergakademie Freiberg,9,
76920730,Sintern und Warmformgebung sowie Eigenschaftscharakterisierung (A06*),2008,,10349,Technische Universität Bergakademie Freiberg,3,
76920924,Grenzflächen und mikrostrukturbezogene Deformationsmechanismen in TRIP-Matrix-Verbundwerkstoffen (B01),2008,,10349,Technische Universität Bergakademie Freiberg,3,
76921082,"Experimentelle und modellgestützte Charakterisierung des Festigkeits-,Verformungs- und Schädigungsverhaltens optimierter TRIPStahlmodifikationen bzw. TRIP-Matrix-Verbundwerkstoffe (B02)",2008,,10349,Technische Universität Bergakademie Freiberg,3,
76921340,Zyklisches Verformungs- und Ermüdungsverhalten (B03),2008,,10349,Technische Universität Bergakademie Freiberg,3,
76921382,Verformungs- und Ermüdungsverhalten bei mehrachsiger Beanspruchung (B04),2008,,10349,Technische Universität Bergakademie Freiberg,3,
76921529,2D und 3D In-situ-Charakterisierung von Verformung und Schädigung (B05),2008,,10349,Technische Universität Bergakademie Freiberg,3,
77371059,Strömungs- und Erstarrungssimulation (C01),2008,,10349,Technische Universität Bergakademie Freiberg,3,
77371205,Thermodynamische Modellierung von ZrO2-MgO Werkstoffen und von Stahl-ZrO2-Grenzflächen (C02),2008,,10349,Technische Universität Bergakademie Freiberg,3,
77371294,Thermodynamisch-mechanische Modellierung des TRIP- und TWIP-Effekts in austenitischem Stahlguss (C03),2008,,10349,Technische Universität Bergakademie Freiberg,3,
77371360,Modellierung der Deformations- und Umwandlungsmechanismen in teilstabilisierter ZrO2-Keramik sowie des thermomechanischen Verhaltens von Keramik-Stahl-Verbundwerkstoffen (C04),2008,,10349,Technische Universität Bergakademie Freiberg,3,
77390940,Werkstoffmechanische Modellierung des Verformungs- und Versagensverhaltens von partikelverstärkten Verbundwerkstoffen aus ZrO2-Keramik und TRIP-Stahl (C05),2008,,10349,Technische Universität Bergakademie Freiberg,3,
77391814,Integriertes Graduiertenkolleg (MGK),2008,,10349,Technische Universität Bergakademie Freiberg,3,
77411913,Öffentlichkeitsarbeit (Ö),2008,,10349,Technische Universität Bergakademie Freiberg,3,
77411993,Service-Projekt (Z01),2008,,10349,Technische Universität Bergakademie Freiberg,3,
77412189,Zentrales Verwaltungsprojekt des Sonderforschungsbereichs (Z02),2008,,10349,Technische Universität Bergakademie Freiberg,3,
79930927,Mikroraman-Labor,2008,2008,10349,Technische Universität Bergakademie Freiberg,1,
79951223,Gerät zur Durchführung von Heißzugversuchen,2009,2009,10349,Technische Universität Bergakademie Freiberg,1,
80033610,Schwingungsmessgerät (basierend auf Lasertechnik),2008,2008,10349,Technische Universität Bergakademie Freiberg,1,
80176317,Schwebeschmelz-Kalttiegel-Anlage,2008,2011,10349,Technische Universität Bergakademie Freiberg,4,
80260303,Gesteinsfragmentierungslabor,2008,2008,10349,Technische Universität Bergakademie Freiberg,1,
80565712,Analytisches Rasterelektronenmikroskop,2008,2008,10349,Technische Universität Bergakademie Freiberg,1,
80606401,Gekoppeltes LC/GC-ICP-Massenspektrometer,2008,2008,10349,Technische Universität Bergakademie Freiberg,1,
80770440,Universalumformpresse,2008,2008,10349,Technische Universität Bergakademie Freiberg,1,
139879538,Computeserver,2009,2009,10349,Technische Universität Bergakademie Freiberg,1,
151881158,XPS/UPS Anlage (Röntgen- und UV-induzierte Photoelektronenspektroskopie),2009,2009,10349,Technische Universität Bergakademie Freiberg,1,
169148856,SFB 920: Multifunktionale Filter für die Metallschmelzefiltration - ein Beitrag zu Zero Defect Materials,2011,,10349,Technische Universität Bergakademie Freiberg,3,"Wärmeenergietechnik, Thermische Maschinen, Strömungsmechanik"
174101287,"Digitales, höchstauflösendes FEG-Rasterelektronenmikroskop mit Focused Ion Beam Zusatz und Gas Injection System",2011,2011,10349,Technische Universität Bergakademie Freiberg,1,
179010251,Zweikammer-Plasmaätzanlage,2010,2010,10349,Technische Universität Bergakademie Freiberg,1,
179833559,Fourier-Transformations-Infrarot-Spektrometer (FTIR),2010,2010,10349,Technische Universität Bergakademie Freiberg,1,
196638664,Kohlenstoffgebundene Filterwerkstoffe und Filterstrukturen mit aktiven und reaktiven Funktionshohlräumen (A01),2011,,10349,Technische Universität Bergakademie Freiberg,3,
196650177,Oxidhaltige Filterwerkstoffe und Filterstrukturen mit aktiven und reaktiven Funktionshohlräumen (A02),2011,,10349,Technische Universität Bergakademie Freiberg,3,
196658916,Thermodynamik der Filterwand und der Einschlüsse (A03),2011,,10349,Technische Universität Bergakademie Freiberg,3,
196693342,Wechselwirkung von keramischen Einschlüssen mit Filterwänden: Oberflächenenergien als treibende Kraft (A04),2011,,10349,Technische Universität Bergakademie Freiberg,3,
196693869,Grenzflächenausbildung in aktiven und reaktiven Filterstrukturen sowie Phasenneubildung nach der Schmelzefiltration (A05),2011,,10349,Technische Universität Bergakademie Freiberg,3,
196694685,Dynamische Grenzschichtgenerierung in einer Spark Plasma Sinteranlage (A06),2011,,10349,Technische Universität Bergakademie Freiberg,3,
196762648,Erhöhung der Filtrationseffizienz von keramischen Tiefenfiltern durch Beeinflussung der Haftungsmechanismen (B01),2011,,10349,Technische Universität Bergakademie Freiberg,3,
196763985,"Strömungsverhalten, Wärme- und Stofftransport in Verbundfilterstrukturen (B02)",2011,,10349,Technische Universität Bergakademie Freiberg,3,
196796370,Wärmetransporteigenschaften von Verbundfilterstrukturen (B03),2011,,10349,Technische Universität Bergakademie Freiberg,3,
196865244,Maßgeschneiderte Agglomerate zur Erhöhung der Abscheideeffizienz (B04),2011,,10349,Technische Universität Bergakademie Freiberg,3,
196865448,Modellierung und Bewertung des Thermoschock- und Druckfließverhaltens von keramischen Filterwerkstoffen und Filterstrukturen (B05),2011,,10349,Technische Universität Bergakademie Freiberg,3,
196865570,Erfassung der Filtrationseffizienz von aktiven und reaktiven Filterwerkstoffen in Kontakt mit Metallschmelzen durch die Bestimmung von Clogging-Faktoren (C01),2011,,10349,Technische Universität Bergakademie Freiberg,3,
196866012,Hochtemperatur-Festigkeit und Formstabilität von kohlenstoffgebundenen Filterwerkstoffen (C02),2011,,10349,Technische Universität Bergakademie Freiberg,3,
196866140,Bestimmung der temperaturabhängigen bruch- und schädigungsmechanischen Eigenschaften keramischer Filterwerkstoffe mit Hilfe des Hochtemperatur Small Punch Tests (C03),2011,,10349,Technische Universität Bergakademie Freiberg,3,
196866214,Experimentelle und stochastische Untersuchung des Einflusses von Einschlüssen auf die Ermüdungslebensdauer (C04),2011,,10349,Technische Universität Bergakademie Freiberg,3,
196866283,"Einfluss von Materialinhomogenitäten auf das temperatur- und geschwindigkeitsabhängige Festigkeits-, Verformungs- und Versagensverhalten (C05)",2011,,10349,Technische Universität Bergakademie Freiberg,3,
197268520,Integriertes Graduiertenkolleg (MGK),2011,,10349,Technische Universität Bergakademie Freiberg,3,
197275786,"Probenpräparation, Filtrationswirkungsgrad, Computertomographie (S01)",2011,,10349,Technische Universität Bergakademie Freiberg,3,
197276086,VR-basierte visuelle Analyse von Filtrationsprozessen (S02),2011,,10349,Technische Universität Bergakademie Freiberg,3,
197283294,Aktive und Reaktive Filtration von Stahl- und Aluminiumschmelzen bei dünn- und dickwandigen Formguss (S03),2011,,10349,Technische Universität Bergakademie Freiberg,3,
197286571,Zentrale Aufgaben des Sonderforschungsbereichs (Z01),2011,,10349,Technische Universität Bergakademie Freiberg,3,
207092682,Automatisiertes Spaltspurendatierungssystem,2011,2011,10349,Technische Universität Bergakademie Freiberg,1,
208311805,Closed-loop controlled Ultraschallprüfmaschine mit 20kHz Prüffrequenz,2011,2011,10349,Technische Universität Bergakademie Freiberg,1,
208319944,Materialprüfmaschine mit Vakuum-/Schutzgaskammern und Induktionsheizung,2011,2011,10349,Technische Universität Bergakademie Freiberg,1,
223744530,Amphibien aus Perm und Trias der nördlichen Pangäa,2012,2015,10349,Technische Universität Bergakademie Freiberg,4,
231123275,Thermisches Elektronenstrahl(EB)-Fügen von Stahl-Keramik-Verbundwerkstoffen (A07),2013,,10349,Technische Universität Bergakademie Freiberg,3,
231126796,Elektrochemisches Korrosionsverhalten und Korrosionsschutz von hochlegierten TRIP-Stählen und TRIP-Matrix-Compositen (B06*),2013,,10349,Technische Universität Bergakademie Freiberg,3,
239916435,Servohydraulisches Axial-Torsional-Prüfsystem,2013,2013,10349,Technische Universität Bergakademie Freiberg,1,
239919465,Betriebsfestigkeitsprüffeld,2013,2013,10349,Technische Universität Bergakademie Freiberg,1,
240011285,System zur Echtzeitanalyse von solvensbasierten Prozessen (ESPro),2014,2014,10349,Technische Universität Bergakademie Freiberg,1,
243835353,System zur Simultanbestimmung von Reaktionswärmen und Partikelgrößen in Echtzeit (SiPRE),2014,2014,10349,Technische Universität Bergakademie Freiberg,1,
255037978,"Steuerung für die Kontiwarmwalzstraße für Stabstahl, Draht, Blech und Band",2014,2014,10349,Technische Universität Bergakademie Freiberg,1,
260123917,Vibroseis-Fahrzeug,2015,2015,10349,Technische Universität Bergakademie Freiberg,1,
260161677,Clustersystem für Niedertemperatur-Schichtabscheidung und Grenzflächenmodifikation,2014,2015,10349,Technische Universität Bergakademie Freiberg,2,
266675991,Hochauflösender Computertomograph (Nano-CT) mit Durchflusszelle,2015,2015,10349,Technische Universität Bergakademie Freiberg,1,
276858530,Schmelzefiltration bei kontinuierlichen Gießverfahren - Stahlstrangguss (B06*),2015,,10349,Technische Universität Bergakademie Freiberg,3,
