source,target,value
5539,1296313,1
5539,1302529,6
5539,1543921,1
5539,1609405,1
5539,1615775,1
5539,1669661,1
5539,1675150,1
5539,1677717,1
5541,6949,1
5541,443428,1
5541,1080923,4
5541,1093661,4
5541,1178564,1
5541,1280429,4
5541,1357362,1
5541,1413247,1
5541,1448907,1
5541,1590499,1
5541,1639383,1
5541,224647492,1
5554,1284529,1
5554,1289969,1
5653,1245208,1
5653,1558394,2
5653,1823133,1
5653,1924676,1
5667,1215873,1
5667,1254155,1
5667,1345939,1
5691,1427322,1
5695,1452118,1
5706,258961,1
5706,258969,1
5706,989590,1
5706,1020681,1
5706,1036017,2
5706,1073710,1
5706,1341075,1
5706,1341133,1
5706,1354879,1
5706,1424746,1
5706,1528537,1
5706,1583990,1
5706,1648214,1
5706,1688666,1
5706,1759504,1
5706,1796645,1
5706,1833408,1
5706,43741479,1
5706,167533486,1
5717,1705612,1
5720,6899,1
5720,252392,1
5720,261080,1
5720,261088,1
5720,998549,2
5720,1300004,1
5720,1371055,1
5720,1485722,1
5726,1647464,1
5726,1756162,1
5728,6572,1
5728,969106,1
5728,1232713,1
5728,1253920,1
5728,1330010,1
5730,1576101,1
5735,254049,1
5735,1327300,1
5735,1675824,1
5739,6638,1
5739,1010059,1
5739,1023719,1
5739,1026540,1
5739,1401755,1
5751,988904,3
5771,999632,1
5771,2006140,1
5771,16523938,1
5771,23099285,1
5781,1111282,1
5781,1407300,1
5784,1244205,1
5800,1140113,1
5800,1341965,1
5808,1322054,1
5814,1064223,2
5840,1055404,1
5861,256703,1
5861,1028333,1
5861,1055404,1
5861,1063967,1
5861,1163614,1
5861,1234022,1
5861,1304467,1
5861,1394583,1
5861,1410819,2
5861,1603765,1
5861,1628498,1
5861,1665569,1
5861,1686496,1
5861,1796847,1
5861,19923044,1
5861,236300466,1
5869,5726,1
5869,6662,1
5869,260170,1
5869,1647464,1
5869,1756162,1
5883,1005769,1
5888,5999,1
5888,1255056,1
5888,1326873,1
5888,1418730,2
5888,1477005,1
5916,386124,1
5916,386173,1
5916,1068221,1
5916,1072640,1
5916,1288935,1
5916,1302083,1
5916,1332777,1
5916,1412136,1
5916,1713401,1
5916,1730900,1
5942,1264008,1
5942,1477302,1
5942,1661830,1
5942,1671742,1
5942,1731355,1
5942,1756162,1
5942,1770846,1
5942,1832154,1
5942,1857405,1
5942,16278400,1
5942,55457038,1
5942,167681375,1
5942,171595628,1
5942,186288093,1
5942,226547291,1
5942,236740920,1
