project_id,subject_area,review_board,research_area
12406603,Alte Geschichte,Alte Kulturen,Geistes- und Sozialwissenschaften 
13880606,Alte Geschichte,Alte Kulturen,Geistes- und Sozialwissenschaften 
39235742,Alte Geschichte,Alte Kulturen,Geistes- und Sozialwissenschaften 
71062747,Alte Geschichte,Alte Kulturen,Geistes- und Sozialwissenschaften 
170320015,Alte Geschichte,Alte Kulturen,Geistes- und Sozialwissenschaften 
178035969,Alte Geschichte,Alte Kulturen,Geistes- und Sozialwissenschaften 
191290453,Alte Geschichte,Alte Kulturen,Geistes- und Sozialwissenschaften 
194523353,Alte Geschichte,Alte Kulturen,Geistes- und Sozialwissenschaften 
198801704,Alte Geschichte,Alte Kulturen,Geistes- und Sozialwissenschaften 
215677325,Alte Geschichte,Alte Kulturen,Geistes- und Sozialwissenschaften 
215859406,Alte Geschichte,Alte Kulturen,Geistes- und Sozialwissenschaften 
223828200,Alte Geschichte,Alte Kulturen,Geistes- und Sozialwissenschaften 
375234,Mittelalterliche Geschichte,Geschichtswissenschaften,Geistes- und Sozialwissenschaften 
5483905,Mittelalterliche Geschichte,Geschichtswissenschaften,Geistes- und Sozialwissenschaften 
71062747,Mittelalterliche Geschichte,Geschichtswissenschaften,Geistes- und Sozialwissenschaften 
112807493,Mittelalterliche Geschichte,Geschichtswissenschaften,Geistes- und Sozialwissenschaften 
151532952,Mittelalterliche Geschichte,Geschichtswissenschaften,Geistes- und Sozialwissenschaften 
172064178,Mittelalterliche Geschichte,Geschichtswissenschaften,Geistes- und Sozialwissenschaften 
178035969,Mittelalterliche Geschichte,Geschichtswissenschaften,Geistes- und Sozialwissenschaften 
191290453,Mittelalterliche Geschichte,Geschichtswissenschaften,Geistes- und Sozialwissenschaften 
198801704,Mittelalterliche Geschichte,Geschichtswissenschaften,Geistes- und Sozialwissenschaften 
223828200,Mittelalterliche Geschichte,Geschichtswissenschaften,Geistes- und Sozialwissenschaften 
388747,Anatomie,Grundlagen der Biologie und Medizin,Lebenswissenschaften 
968378,Anatomie,Grundlagen der Biologie und Medizin,Lebenswissenschaften 
968539,Anatomie,Grundlagen der Biologie und Medizin,Lebenswissenschaften 
5472147,Anatomie,Grundlagen der Biologie und Medizin,Lebenswissenschaften 
5483434,Anatomie,Grundlagen der Biologie und Medizin,Lebenswissenschaften 
